keyword,intent,khu_vuc,cluster,volume_est,difficulty_est,priority,target_url_type,realsearch_job,ghi_chu
giá đất Nhơn Trạch 2026,thông tin,Đồng Nai,dat-nen-khu-dong,TB,thấp,5,bai-viet/gia-dat-nhon-trach-2026,viewlink,pillar kéo traffic
giá căn hộ TPHCM 2026 cập nhật,thông tin,TP.HCM,can-ho-hcm,cao,TB,4,bai-viet/gia-can-ho-tphcm-2026,viewlink,
có nên mua chung cư Hà Nội thời điểm này,thông tin,Hà Nội,can-ho-hanoi,TB,TB,4,bai-viet/co-nen-mua-chung-cu-ha-noi,viewlink,intent cân nhắc - capture lead
thủ tục sang tên sổ đỏ mới nhất 2026,thông tin,Toàn quốc,phap-ly,cao,TB,4,bai-viet/thu-tuc-sang-ten-so-do-2026,viewlink,evergreen - authority
phân biệt sổ đỏ và sổ hồng,thông tin,Toàn quốc,phap-ly,cao,thấp,5,bai-viet/so-do-va-so-hong-khac-nhau,viewlink,quick win informational
cách kiểm tra quy hoạch đất online,thông tin,Toàn quốc,phap-ly,TB,thấp,5,bai-viet/kiem-tra-quy-hoach-dat-online,viewlink,quick win
kinh nghiệm mua đất nền tránh rủi ro,thông tin,Toàn quốc,cam-nang,TB,TB,4,bai-viet/kinh-nghiem-mua-dat-nen,viewlink,
vay mua nhà lãi suất 2026 ngân hàng nào,thông tin,Toàn quốc,tai-chinh,TB,TB,4,bai-viet/vay-mua-nha-lai-suat-2026,viewlink,
môi giới bất động sản đăng tin ở đâu hiệu quả,điều hướng,Toàn quốc,thuong-hieu,thấp,thấp,5,trang-chu,viewlink,kéo người bán - tăng nguồn tin
trang đăng tin bất động sản miễn phí,điều hướng,Toàn quốc,thuong-hieu,TB,TB,4,trang-chu,viewlink,cạnh tranh trực tiếp đối thủ
